Hand ID,Position,Preflop Actions,Type
RC3334479273,Hero(BB),Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): calls 0.6BB; Hero: checks; ,BB Check & Post-flop Action
RC3334564486,Hero(BB),Opp(UTG): folds; Opp(MP): calls 1.0BB; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Hero: checks; ,BB Check & Post-flop Action
RC3334482693,Hero(BB),Opp(UTG): calls 1.0BB; Opp(MP): folds; Opp(CO): folds; Opp(BTN): calls 1.0BB; Opp(SB): folds; Hero: checks; ,BB Check & Post-flop Action
RC3334439593,Hero(BB),Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): calls 0.6BB; Hero: checks; ,BB Check & Post-flop Action
RC3334439082,Hero(BB),Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): calls 0.6BB; Hero: checks; ,BB Check & Post-flop Action
RC3334368486,Hero(BB),Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): calls 0.6BB; Hero: checks; ,BB Check & Post-flop Action
RC3334481581,Hero(BB),Opp(UTG): folds; Opp(MP): calls 1.0BB; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Hero: checks; ,BB Check & Post-flop Action
RC3334438741,Hero(BB),Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): calls 0.6BB; Hero: checks; ,BB Check & Post-flop Action
RC3334555312,Hero(BB),Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): calls 0.6BB; Hero: checks; ,BB Check & Post-flop Action
RC3334374257,Hero(BB),Opp(UTG): folds; Opp(MP): folds; Opp(CO): calls 1.0BB; Opp(BTN): folds; Opp(SB): folds; Hero: checks; ,BB Check & Post-flop Action
RC3336605523,Hero(BB),Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): calls 0.6BB; Hero: checks; ,BB Check & Post-flop Action
RC3336553649,Hero(BB),Opp(UTG): calls 1.0BB; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Hero: checks; ,BB Check & Post-flop Action
RC3336550210,Hero(BB),Opp(UTG): folds; Opp(MP): folds; Opp(CO): calls 1.0BB; Opp(BTN): folds; Opp(SB): folds; Hero: checks; ,BB Check & Post-flop Action
RC3336554144,Hero(BB),Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): calls 0.6BB; Hero: checks; ,BB Check & Post-flop Action
RC3336551981,Hero(BB),Opp(UTG): calls 1.0BB; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): calls 0.6BB; Hero: checks; ,BB Check & Post-flop Action
RC3337279693,Hero(BB),Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): calls 0.6BB; Hero: checks; ,BB Check & Post-flop Action
RC3337217333,Hero(BB),Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): calls 0.6BB; Hero: checks; ,BB Check & Post-flop Action
RC3337409428,Hero(BB),Cash Drop to Pot : total $0.5; Opp(UTG): folds; Opp(MP): calls 1.0BB; Opp(CO): calls 1.0BB; Opp(BTN): folds; Opp(SB): folds; Hero: checks; ,BB Check & Post-flop Action
RC3337406283,Hero(BB),Opp(UTG): folds; Opp(MP): calls 1.0BB; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Hero: checks; ,BB Check & Post-flop Action
RC3337320245,Hero(BB),Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): calls 1.0BB; Opp(SB): folds; Hero: checks; ,BB Check & Post-flop Action
RC3337316170,Hero(BB),Opp(UTG): calls 1.0BB; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Hero: checks; ,BB Check & Post-flop Action
